field,label,type_code,type_name,storage,pointer_file,has_description,has_input_transform,last_edited,help_prompt
0.224,K-RELATIONSHIP TYPE,P,POINTER,.21;15,12.11,True,True,3220106,Enter the relationship of the primary NOK to the patient.
0.2401,FATHER'S NAME,F,FREE TEXT,.24;1,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2402,MOTHER'S NAME,F,FREE TEXT,.24;2,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2403,MOTHER'S MAIDEN NAME,F,FREE TEXT,.24;3,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2405,PREFERRED NAME,F,FREE TEXT,.24;5,,True,True,3241211,Enter the Preferred Name (1-25 alphabetic characters and/or spaces) for how the patient would like to be addressed at th
0.2406,PRONOUN,P,POINTER,.2406;0,,True,False,,
0.24061,PRONOUN DESCRIPTION,F,FREE TEXT,.241;2,,True,True,3210624,Enter the description (3-255 characters) of the 'Other' Pronoun for specifically addressing the patient.
0.251,SPOUSE'S EMPLOYER NAME,F,FREE TEXT,.25;1,,True,True,2880725,Enter the name of this spouse's employer [3-20 characters].
0.2514,SPOUSE'S OCCUPATION,F,FREE TEXT,.25;14,,True,True,2920110,Enter the spouse's current occupation.  Answer must be 3-30 characters in length.
0.2515,SPOUSE'S EMPLOYMENT STATUS,S,SET OF CODES,.25;15,,True,True,3041130,Enter the current employment status for this patient's spouse.
0.2516,SPOUSE'S RETIREMENT DATE,D,DATE/TIME,.25;16,,True,True,3050526,"For this veteran applicant's spouse, enter the date s/he retired from her/his place of employment.  A date may only be e"
0.252,SPOUSE'S EMP STREET [LINE 1],F,FREE TEXT,.25;2,,True,True,2890115,Enter the first line of the spouse's employers address [3-35 characters].
0.253,SPOUSE'S EMP STREET [LINE 2],F,FREE TEXT,.25;3,,True,True,2890115,"If necessary, enter the second line of the spouse's employers address [3-35 characters]."
0.254,SPOUSE'S EMP STREET [LINE 3],F,FREE TEXT,.25;4,,True,True,2861002,"If necessary, enter the third line of the spouse's employers address [3-35 characters]."
0.255,SPOUSE'S EMPLOYER'S CITY,F,FREE TEXT,.25;5,,True,True,2861002,Enter the city in which the spouse is employed [2-20 characters].
0.256,SPOUSE'S EMPLOYER'S STATE,P,POINTER,.25;6,5.0,True,True,2861002,Enter the state in which the spouse is employed.
0.257,SPOUSE'S EMP ZIP CODE,F,FREE TEXT,.25;7,,True,True,2930603,Enter the 5-digit zip code of the spouse's place of employment.
0.258,SPOUSE'S EMP PHONE NUMBER,F,FREE TEXT,.25;8,,True,True,2861002,Enter the spouse's employment telephone number [4-20 characters].
0.290012,ZIP+4 (CIVIL),F,FREE TEXT,.291;12,,True,True,2930913,Answer with either 5 digit or 9 digit zip code.
0.29013,ZIP+4 (VA),F,FREE TEXT,.29;13,,True,True,2930913,Answer with either 5 digit or 9 digit zip code.
0.291,DATE RULED INCOMPETENT (VA),D,DATE/TIME,.29;1,,True,True,3070522,Enter the date this patient was ruled incompetent to handle his VA funds.  The Date Ruled Incompetent cannot be after th
0.2911,INSTITUTION (VA),P,POINTER,.29;3,4.0,True,True,2840914,
0.2912,GUARDIAN (VA),F,FREE TEXT,.29;4,,True,True,2840914,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2913,RELATIONSHIP (VA),F,FREE TEXT,.29;5,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2914,STREET ADDRESS 1 (VA),F,FREE TEXT,.29;6,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2915,STREET ADDRESS 2 (VA),F,FREE TEXT,.29;7,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2916,CITY (VA),F,FREE TEXT,.29;8,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2917,STATE (VA),P,POINTER,.29;9,5.0,True,True,2840914,
0.2918,ZIP (VA),F,FREE TEXT,.29;10,,True,True,2930603,ANSWER MUST BE 5 CHARACTERS IN LENGTH
0.2919,PHONE (VA),F,FREE TEXT,.29;11,,True,True,2840914,ANSWER MUST BE 3-20 CHARACTERS IN LENGTH
0.292,DATE RULED INCOMPETENT (CIVIL),D,DATE/TIME,.29;2,,True,True,3090904,Enter the date ruled incompetent.  The Date Ruled Incompetent cannot be after the Date of Death.
0.2921,INSTITUTION (CIVIL),F,FREE TEXT,.291;3,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2922,GUARDIAN (CIVIL),F,FREE TEXT,.291;4,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2923,RELATIONSHIP (CIVIL),F,FREE TEXT,.291;5,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2924,STREET ADDRESS 1 (CIVIL),F,FREE TEXT,.291;6,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2925,STREET ADDRESS 2 (CIVIL),F,FREE TEXT,.291;7,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2926,CITY (CIVIL),F,FREE TEXT,.291;8,,True,True,,ANSWER MUST BE 2-30 CHARACTERS IN LENGTH
0.2927,STATE (CIVIL),P,POINTER,.291;9,5.0,True,True,,
0.2928,ZIP (CIVIL),F,FREE TEXT,.291;10,,True,True,2930603,ANSWER MUST BE 5 CHARACTERS IN LENGTH
0.2929,PHONE (CIVIL),F,FREE TEXT,.291;11,,True,True,,ANSWER MUST BE 3-20 CHARACTERS IN LENGTH
0.293,RATED INCOMPETENT?,S,SET OF CODES,.29;12,,True,True,2890505,"Used by A.M.I.E,  may differ from the Date ruled incompetent"
0.301,SERVICE CONNECTED?,S,SET OF CODES,.3;1,,True,True,2960911,"Enter 'Y' if this patient is service connected, 'N' if not."
0.3012,SC AWARD DATE,D,DATE/TIME,.3;12,,True,True,2930419,Enter the date on which Service Connection is effective based on VBA decision.  This can be obtained from either HINQ or
0.3013,P&T EFFECTIVE DATE,D,DATE/TIME,.3;13,,True,True,3070516,"Enter the Effective Date the patient was awarded P&T disability status by VARO.  This date is optional, but cannot be in"
0.3014,EFF. DATE COMBINED SC% EVAL.,D,DATE/TIME,.3;14,,True,True,3050714,
0.302,SERVICE CONNECTED PERCENTAGE,N,NUMERIC,.3;2,,True,True,3030609,For this service connected applicant enter the percentage of service connection between 0 and 100%.
0.3025,RECEIVING VA DISABILITY?,S,SET OF CODES,.3;11,,True,True,3010107,"Enter 'Y' if receiving a VA Disability, 'N' if not."
0.303,AMOUNT OF VA DISABILITY,N,NUMERIC,.3;3,,True,True,2880923,"If in receipt of VA Disability, enter the dollar amount awarded."
0.304,P&T,S,SET OF CODES,.3;4,,True,True,3060712,Is this patient permanently and totally disabled due to an SC condition?
0.305,UNEMPLOYABLE,S,SET OF CODES,.3;5,,True,True,3041117,Is this patient unemployable due to an SC condition as rated by VARO?
0.306,MONETARY BEN. VERIFY DATE,D,DATE/TIME,.3;6,,True,True,2900418,Enter the date on which monetary benefits were verified to be accurate.
0.307,INELIGIBLE REASON,F,FREE TEXT,.3;7,,True,True,3220613,Enter the reason this patient is considered to be ineligible for treatment NTE 40 characters.
0.308,*NON-VET CLASSIFICATION,P,POINTER,.3;8,24.0,False,True,2851230,
0.309,AGENCY/ALLIED COUNTRY,P,POINTER,.3;9,35.0,True,True,2861007,"If applicable, enter the federal agency or allied country associated with this patient."
0.31,*CATEGORY OF BENEFICIARY,P,POINTER,.3;10,45.82,True,True,2911216,Enter the category of benificiary for this patient.
0.3111,EMPLOYER NAME,F,FREE TEXT,.311;1,,True,True,2890530,Enter the name of this patient's employer [1-30 characters].
0.31115,EMPLOYMENT STATUS,S,SET OF CODES,.311;15,,True,True,3060802,Enter this patient's current employment status.
0.31116,DATE OF RETIREMENT,D,DATE/TIME,.311;16,,True,True,3050526,For this veteran applicant enter the date s/he retired from her/his place of employment.  A date may only be entered if 
0.3112,GOVERNMENT AGENCY,S,SET OF CODES,.311;2,,True,True,2890531,"Enter 'Y' if this patient is employed by a government agency, 'N' if not."
0.3113,EMPLOYER STREET [LINE 1],F,FREE TEXT,.311;3,,True,True,2890531,Enter the first line of the employer's address [1-30 characters].
0.3114,EMPLOYER STREET [LINE 2],F,FREE TEXT,.311;4,,True,True,2890531,"If necessary, enter the second line of the employer's address [1-30 characters]."
0.3115,EMPLOYER STREET [LINE 3],F,FREE TEXT,.311;5,,True,True,2890531,"If necessary, enter the third line of the employer's address [1-30 characters]."
0.3116,EMPLOYER CITY,F,FREE TEXT,.311;6,,True,True,2890531,Enter the city in which this patient is employed [1-30 characters].
0.3117,EMPLOYER STATE,P,POINTER,.311;7,5.0,True,True,2890531,Enter the state in which this patient is employed.
0.3118,EMPLOYER ZIP CODE,F,FREE TEXT,.311;8,,True,True,2930603,Enter the 5-digit zip code for this patient's place of employment.
0.3119,EMPLOYER PHONE NUMBER,F,FREE TEXT,.311;9,,True,True,2890531,Enter this patient's employment telephone number [3-20 characters].
0.312,*CLAIM FOLDER LOCATION,F,FREE TEXT,.31;2,,True,True,2930413,Enter the location of this patient's VA claim folder [2-40 characters].
0.3121,INSURANCE TYPE,P,POINTER,.312;0,,True,False,,Select from the listing available the type of insurance under which this patient is covered.
0.313,CLAIM NUMBER,F,FREE TEXT,.31;3,,True,True,3230609,Enter this patient's claim number as 7-8 numerics or enter SS if the claim number is the same as his/her SSN.  Pseudo SS
0.314,CLAIM FOLDER LOCATION,P,POINTER,.31;4,4.0,True,True,3230712,Enter the location of the patient's claim folder.  
0.3192,COVERED BY HEALTH INSURANCE?,S,SET OF CODES,.31;11,,True,True,3200520,"Enter 'Y' if this patient is covered by health insurance, 'N' if not."
0.32101,VIETNAM SERVICE INDICATED?,S,SET OF CODES,.321;1,,True,True,3040614,"Enter 'Y' if this patient served in Vietnam, 'N' if not, 'U' if unknown."
0.32102,AGENT ORANGE EXPOS. INDICATED?,S,SET OF CODES,.321;2,,True,True,3220318,"Enter 'Y' if this patient claims exposure to agent orange, 'N' if not, 'U' if unknown."
0.32103,RADIATION EXPOSURE INDICATED?,S,SET OF CODES,.321;3,,True,True,3220318,Enter the RADIATION EXPOSURE INDICATED associated with the enrollment priority determination
0.32104,VIETNAM FROM DATE,D,DATE/TIME,.321;4,,True,True,3040722,Enter the date this patient commenced service in the Republic of Vietnam.
0.32105,VIETNAM TO DATE,D,DATE/TIME,.321;5,,True,True,3040614,Enter the date this patient ended service in the Republic of Vietnam.
0.32107,AGENT ORANGE REGISTRATION DATE,D,DATE/TIME,.321;7,,True,True,3010107,Enter the date on which this patient was registered as being exposed to agent orange.
0.32108,AGENT ORANGE REPORTED TO C.O.,D,DATE/TIME,.321;8,,True,True,2900418,Enter the date on which this patient's claim for agent orange exposure was reported to C.O.
0.32109,AGENT ORANGE EXAM DATE,D,DATE/TIME,.321;9,,True,True,2900418,Enter the date this patient was examined for the agent orange condition claimed.
0.3211,AGENT ORANGE REGISTRATION #,N,NUMERIC,.321;10,,True,True,2860806,Enter this patient's agent orange registration number [a number between 1-999999].
0.32111,RADIATION REGISTRATION DATE,D,DATE/TIME,.321;11,,True,True,2900418,Enter the date on which this patient was registered as claiming exposure to ionizing radiation.
0.32115,PROJ 112/SHAD,S,SET OF CODES,.321;15,,False,True,3060713,
0.32116,TOXIC EXPOSURE RISK ACTIVITY,S,SET OF CODES,.321;16,,True,False,3240322,This field is not editable in VistA and is only shared so that it may be displayed to a VistA user along with the patien
0.32117,PERSIAN GULF INDICATOR,S,SET OF CODES,.321;17,,True,False,3240819,"If the patient indicates deployment to the Persian Gulf, enter ""YES"". If the patient indicates there was no deployment t"
0.32118,PERSIAN GULF LAST CHANGE DATE,D,DATE/TIME,.321;18,,True,True,3240828,Type a date between 8/2/1999 and 12/31/2099.
0.3212,RADIATION EXPOSURE METHOD,S,SET OF CODES,.321;12,,True,True,3230201,Select from the listing available the method by which this patient was exposed to ionizing radiation.
0.3213,AGENT ORANGE EXPOSURE LOCATION,S,SET OF CODES,.321;13,,True,True,3230106,Enter where the patient was exposed to agent orange.
0.3214,FILIPINO VETERAN PROOF,S,SET OF CODES,.321;14,,True,True,3040614,
0.3215,SERVICE [OEF OR OIF],S,SET OF CODES,.3215;0,,True,False,3060104,
0.3216,MILITARY SERVICE EPISODE,D,DATE/TIME,.3216;0,,True,False,,
0.321701,CAMP LEJEUNE,S,SET OF CODES,.3217;1,,True,True,3150313,"Enter ""Y"" if there is sufficient evidence that the Veteran was housed at Camp Lejeune for a minimum of 30 days between a"
0.321702,CAMP LEJEUNE DATE,D,DATE/TIME,.3217;2,,True,True,3150313,This is the date when the CAMP LEJEUNE ELIGIBILITY INDICATOR field was last changed.
0.321703,CAMP LEJEUNE CHANGE SITE,F,FREE TEXT,.3217;3,,True,True,3150313,Answer must be 3-10 characters in length.
0.321704,CAMP LEJEUNE SOURCE,F,FREE TEXT,.3217;4,,True,True,3150313,Answer must be 3-10 characters in length.
0.32171,CAMP LEJEUNE DATA ENTRY LOCKED,S,SET OF CODES,.32171;1,,True,True,3150313,Enter 1 to Lock or 0 to unlock Camp Lejeune data entry.
0.322,SERVICE VERIFICATION DATE,D,DATE/TIME,.32;2,,True,True,2900418,Enter the date on whcih this patient's service record was verified as being accurate.
0.32201,PERSIAN GULF SERVICE?,S,SET OF CODES,.322;10,,True,True,3040628,"Did this patient serve in the Persian Gulf War?  Answer yes, no, or unknown."
0.322011,PERSIAN GULF FROM DATE,D,DATE/TIME,.322;11,,True,True,3040722,TYPE A DATE BETWEEN 8/2/1990 AND TODAY INDICATING THE DATE THIS PATIENT BEGAN SERVING IN THE PERSIAN GULF.
0.322012,PERSIAN GULF TO DATE,D,DATE/TIME,.322;12,,True,True,3040628,Enter the date this patient's service in the Persian Gulf ended.  Date must either be null or in the past.
0.322013,SOUTHWEST ASIA CONDITIONS?,S,SET OF CODES,.322;13,,True,True,3080422,"Enter 'Y' if this patient claims exposure to Southwest Asia Conditions, 'N' if not, 'U' if unknown."
0.322014,SW ASIA COND REGISTRATION DATE,D,DATE/TIME,.322;14,,True,True,3060503,Enter the date on which this patient was registered as being exposed to Southwest Asia conditions.  This must be after 8
0.322015,SW ASIA COND EXAM DATE,D,DATE/TIME,.322;15,,True,True,3060503,Enter the date this patient was examined for the Southwest Asia conditions claimed (Must be after 8/1/1990).
0.322016,SOMALIA SERVICE INDICATED?,S,SET OF CODES,.322;16,,True,True,3040628,Did this patient serve in Somalia?
0.322017,SOMALIA FROM DATE,D,DATE/TIME,.322;17,,True,True,3040722,Enter the date veteran's service in Somalia began.
0.322018,SOMALIA TO DATE,D,DATE/TIME,.322;18,,True,True,3040628,Enter the date veteran's service in Somalia ended.
0.322019,YUGOSLAVIA SERVICE INDICATED?,S,SET OF CODES,.322;19,,True,True,3040628,Respond yes if patient served in the Kosovo Conflict (the airspace above and the adjacent waters of the Republic of Yugo
0.32202,YUGOSLAVIA FROM DATE,D,DATE/TIME,.322;20,,True,True,3040722,"Type a date between June 22, 1992 and today indicating the date this patient began serving in the Yugoslavia Conflict."
0.322021,YUGOSLAVIA TO DATE,D,DATE/TIME,.322;21,,True,True,3040628,"Enter the date this patient's service in the Yugoslavia Conflict ended.  Date must be after June 22, 1992."
0.3221,LEBANON SERVICE INDICATED?,S,SET OF CODES,.322;1,,True,True,3040614,Did this veteran serve in Lebanon during the conflict there?
0.3222,LEBANON FROM DATE,D,DATE/TIME,.322;2,,True,True,3040722,"TYPE A DATE AFTER OCTOBER 1, 1983 TO INDICATE THE DATE THIS PATIENT BEGAN HIS SERVICE IN LEBANON"
0.3223,LEBANON TO DATE,D,DATE/TIME,.322;3,,True,True,3040614,"TYPE A DATE AFTER OCTOBER 1, 1983 INDICATING THE DATE THIS PATIENT'S SERVICE IN LEBANON ENDED."
0.3224,GRENADA SERVICE INDICATED?,S,SET OF CODES,.322;4,,True,True,3040614,"If this patient served during the conflict in Grenada, enter YES here.  Enter NO if the patient did not serve in Grenada"
0.3225,GRENADA FROM DATE,D,DATE/TIME,.322;5,,True,True,3040722,TYPE A DATE BETWEEN 10/23/1983 AND 11/21/1983 INDICATING THE DATE THIS PATIENT'S SERVICE IN GRENADA BEGAN.
0.3226,GRENADA TO DATE,D,DATE/TIME,.322;6,,True,True,3040614,TYPE A DATE BETWEEN 10/23/1983 AND 11/21/1983 INDICATING THE DATE THE PATIENT'S SERVICE IN GRENADA ENDED.
0.3227,PANAMA SERVICE INDICATED?,S,SET OF CODES,.322;7,,True,True,3040614,"Did this patient serve in the conflict in Panama?  Answer YES, NO, or UNKNOWN."
0.3228,PANAMA FROM DATE,D,DATE/TIME,.322;8,,True,True,3040722,TYPE A DATE BETWEEN 12/20/1989 AND 1/31/1990 INDICATING THE DATE THIS PATIENT BEGAN SERVICE IN PANAMA.
0.3229,PANAMA TO DATE,D,DATE/TIME,.322;9,,True,True,3040614,TYPE A DATE BETWEEN 12/20/1989 AND 1/31/1990 INDICATING THE DATE THIS PATIENT'S SERVICE IN PANAMA ENDED.
0.323,PERIOD OF SERVICE,P,POINTER,.32;3,21.0,True,True,3060802,Select from the available listing the period of service which best classifies this patient.
0.324,SERVICE DISCHARGE TYPE [LAST],P,POINTER,.32;4,25.0,True,True,3040610,Select from the listing the discharge type from this patient's last episode of military service.
0.325,SERVICE BRANCH [LAST],P,POINTER,.32;5,23.0,True,True,3051104,Select from the listing the branch in which this patient served during his last episode of military service.
0.326,SERVICE ENTRY DATE [LAST],D,DATE/TIME,.32;6,,True,True,3040722,Enter the date the patient entered his last episode of military service.
0.327,SERVICE SEPARATION DATE [LAST],D,DATE/TIME,.32;7,,True,True,3090623,Enter the date on which this patient was separated from his last episode of military service.
0.328,SERVICE NUMBER [LAST],F,FREE TEXT,.32;8,,True,True,3040610,Enter the service number assigned to this patient during his last episode of military service or 'SS' if it's the same a
0.3285,SERVICE SECOND EPISODE?,S,SET OF CODES,.32;19,,True,True,3040407,Enter YES if this patient has more than one episode of military service otherwise enter NO.
0.329,SERVICE DISCHARGE TYPE [NTL],P,POINTER,.32;9,25.0,True,True,3040610,Enter the type of discharge given this patient from his next-to-last episode of military service.
0.3291,SERVICE BRANCH [NTL],P,POINTER,.32;10,23.0,True,True,3060718,Enter the branch of service in which the patient served in his next-to-last episode of military service.
0.32911,SERVICE COMPONENT [LAST],S,SET OF CODES,.3291;1,,True,True,3050919,Enter the military service component of the patient for the most recent military service episode.
0.32912,SERVICE COMPONENT [NTL],S,SET OF CODES,.3291;2,,True,True,3050919,Enter the military service component of the patient for the next to last military service episode.
0.32913,SERVICE COMPONENT [NNTL],S,SET OF CODES,.3291;3,,True,True,3050919,Enter the military service component of the patient for the third most recent military service episode.
0.3292,SERVICE ENTRY DATE [NTL],D,DATE/TIME,.32;11,,True,True,3040722,Enter the date this patient commenced his next-to-last episode of military service.
0.3293,SERVICE SEPARATION DATE [NTL],D,DATE/TIME,.32;12,,True,True,3040610,Enter the date this patient ended his next-to-last episode of military service.
0.3294,SERVICE NUMBER [NTL],F,FREE TEXT,.32;13,,True,True,3040610,Enter the service number assigned to this patient during his next-to-last episode of military service or 'SS' if it's th
0.32945,SERVICE THIRD EPISODE?,S,SET OF CODES,.32;20,,True,True,3040407,Enter YES if this patient served more than two episodes of military service otherwise enter NO.
0.3295,SERVICE DISCHARGE TYPE [NNTL],P,POINTER,.32;14,25.0,True,True,3040610,For this third episode of military service enter the discharge type given this patient.
0.3296,SERVICE BRANCH [NNTL],P,POINTER,.32;15,23.0,True,True,3060104,For this third episode of military service enter the branch in which this patient served.
0.3297,SERVICE ENTRY DATE [NNTL],D,DATE/TIME,.32;16,,True,True,3040722,For this third episode of military service enter the date on which the patient commenced serving.
0.3298,SERVICE SEPARATION DATE [NNTL],D,DATE/TIME,.32;17,,True,True,3040610,For this third episode of military service enter the date on which the service terminated.
0.3299,SERVICE NUMBER [NNTL],F,FREE TEXT,.32;18,,True,True,3040610,For this third episode of military service enter the service number assigned or 'SS' if it's the same as the SSN.
0.33011,E-WORK PHONE NUMBER,F,FREE TEXT,.33;11,,True,True,3100528,Enter the work phone number for the emergency contact.  Answer must be 4-20 characters in length.
0.33012,E-CONTACT CHANGE DATE/TIME,D,DATE/TIME,.332;1,,True,True,3100526,
0.3305,E-EMER. CONTACT SAME AS NOK?,S,SET OF CODES,.33;10,,True,True,2861007,"Enter YES if the emergency contact and next-of-kin are the same person, otherwise enter NO."
0.3306,E-COUNTRY,P,POINTER,.33;12,779.004,True,True,3191203,Enter the country where the primary emergency contact address is located.  If entering an Army/Air Force Post Office (AP
0.3307,E-PROVINCE,F,FREE TEXT,.33;13,,True,True,3191203,Answer must be 1-20 characters in length.
0.3308,E-POSTAL CODE,F,FREE TEXT,.33;14,,True,True,3191203,Answer must be 1-10 characters in length.
0.3309,E-RELATIONSHIP TYPE,P,POINTER,.33;15,12.11,True,True,3220105,Enter the relationship of the emergency contact to the patient.
0.331,E-NAME,F,FREE TEXT,.33;1,,True,True,3190821,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.331011,E2-WORK PHONE NUMBER,F,FREE TEXT,.331;11,,True,True,3100528,Enter the work phone number for the secondary emergency contact.  Answer must be 4-20 characters in length.
0.331012,E2-COUNTRY,P,POINTER,.331;12,779.004,True,True,3191203,Enter the country where the secondary emergency contact address is located.  If entering an Army/Air Force Post Office (
0.331013,E2-PROVINCE,F,FREE TEXT,.331;13,,True,True,3191203,Answer must be 1-20 characters in length.
0.331014,E2-POSTAL CODE,F,FREE TEXT,.331;14,,True,True,3191203,Answer must be 1-10 characters in length.
0.331015,E2-RELATIONSHIP TYPE,P,POINTER,.331;15,12.11,True,True,3220105,Enter the relationship of the secondary emergency contact to the patient.
0.3311,E2-NAME OF SECONDARY CONTACT,F,FREE TEXT,.331;1,,True,True,3190821,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.33112,E2-CONTACT CHANGE DATE/TIME,D,DATE/TIME,.332;2,,True,True,3100526,
0.3312,E2-RELATIONSHIP TO PATIENT,F,FREE TEXT,.331;2,,True,True,3220626,Enter any notes related to the relationship of the secondary emergency contact to the patient [2-30 characters].
0.3313,E2-STREET ADDRESS [LINE 1],F,FREE TEXT,.331;3,,True,True,2890115,Enter the first line of the secondary emergency contacts address [3-30 characters].
0.3314,E2-STREET ADDRESS [LINE 2],F,FREE TEXT,.331;4,,True,True,2890115,Enter the second line of the secondary emergency contacts address [3-30 characters].
0.3315,E2-STREET ADDRESS [LINE 3],F,FREE TEXT,.331;5,,True,True,2861002,Enter the third line of the secondary emergency contacts address [3-30 characters].
0.3316,E2-CITY,F,FREE TEXT,.331;6,,True,True,2861002,Enter the city in which the secondary emergency contact resides [3-30 characters].
0.3317,E2-STATE,P,POINTER,.331;7,5.0,True,True,2861002,Select from the listing the state in which the secondary emergency contact resides.
0.3318,E2-ZIP CODE,F,FREE TEXT,.331;8,,True,True,2930603,Enter the zip code as five numerics where the secondary emergency contact resides.
0.3319,E2-PHONE NUMBER,F,FREE TEXT,.331;9,,True,True,3190821,Enter the phone number of the secondary emergency contact [3-20 characters].
0.332,E-RELATIONSHIP TO PATIENT,F,FREE TEXT,.33;2,,True,True,3220626,Enter any notes related to the relationship of the emergency contact to the patient [3-35 characters].
0.333,E-STREET ADDRESS [LINE 1],F,FREE TEXT,.33;3,,True,True,2890115,Enter the first line of the emergency contacts street address [3-30 characters].
0.334,E-STREET ADDRESS [LINE 2],F,FREE TEXT,.33;4,,True,True,2890115,Enter the second line of the emergency contacts street address [3-30 characters].
0.335,E-STREET ADDRESS [LINE 3],F,FREE TEXT,.33;5,,True,True,2861002,Enter the third line of the emergency contacts address [3-30 characters].
0.336,E-CITY,F,FREE TEXT,.33;6,,True,True,2861002,Enter the city in which the emergency contact resides [3-30 characters].
0.337,E-STATE,P,POINTER,.33;7,5.0,True,True,2861002,Select from the listing the state in whcih the emergency contact resides.
0.338,E-ZIP CODE,F,FREE TEXT,.33;8,,True,True,2930603,Enter the zip code as five numerics of the emergency contact.
0.339,E-PHONE NUMBER,F,FREE TEXT,.33;9,,True,True,3190821,Enter the phone number of the emergency contact [3-20 characters].
0.34011,D-WORK PHONE NUMBER,F,FREE TEXT,.34;11,,True,True,3100528,Enter the designee's work phone number.  Answer must be 4-20 characters in length.
0.34012,D-COUNTRY,P,POINTER,.34;12,779.004,True,True,3191203,Enter the country where the designee address is located.  If entering an Army/Air Force Post Office (APO) or a Fleet Pos
0.34013,D-PROVINCE,F,FREE TEXT,.34;13,,True,True,3191203,Answer must be 1-20 characters in length.
0.34014,D-POSTAL CODE,F,FREE TEXT,.34;14,,True,True,3191203,Answer must be 1-10 characters in length.
0.34015,D-RELATIONSHIP TYPE,P,POINTER,.34;15,12.11,True,True,3220105,Enter the relationship of the designee to the patient.
0.3405,D-DESIGNEE SAME AS NOK?,S,SET OF CODES,.34;10,,True,True,2861007,If the designee and the person specififed as the next-of-kin are one in the same enter YES otherwise enter NO.
0.341,D-NAME OF DESIGNEE,F,FREE TEXT,.34;1,,True,True,3190821,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.3412,DESIGNEE CHANGE DATE/TIME,D,DATE/TIME,.332;3,,True,True,3100526,
0.342,D-RELATIONSHIP TO PATIENT,F,FREE TEXT,.34;2,,True,True,3220626,Enter any notes related to the relationship of the designee to the patient [3-30 characters].
0.343,D-STREET ADDRESS [LINE 1],F,FREE TEXT,.34;3,,True,True,2920113,Enter the first line of the designee's address [3-30 characters].
0.344,D-STREET ADDRESS [LINE 2],F,FREE TEXT,.34;4,,True,True,2890115,Enter the second line of the designee's address [3-30 characters].
0.345,D-STREET ADDRESS [LINE 3],F,FREE TEXT,.34;5,,True,True,2861002,Enter the third line of the designee's address [3-30 characters].
0.346,D-CITY,F,FREE TEXT,.34;6,,True,True,2861002,Enter the city in which the designee resides [1-30 characters].
0.347,D-STATE,P,POINTER,.34;7,5.0,True,True,2861002,Select from the listing the state in which the designee resides.
0.348,D-ZIP CODE,F,FREE TEXT,.34;8,,True,True,2930603,Enter the zip code as five numerics of the designee's address.
0.349,D-PHONE NUMBER,F,FREE TEXT,.34;9,,True,True,3190821,Enter the phone number of the designee [3-20 characters].
0.351,DATE OF DEATH,D,DATE/TIME,.35;1,,True,True,3170424,"Enter the patient's DATE OF DEATH, which cannot be before the patient's Date of Birth or a future date."
